status url
405 https://api.openai.com/v1/audio/speech
405 https://api.openai.com/v1/audio/transcriptions
404 https://api.openai.com/v1/audio/voices
200 https://api.openai.com/v1/batches
404 https://api.openai.com/v1/batches/batch_6942a45fd0408190a004ac99f9d886d2
404 https://api.openai.com/v1/batches/batch_6946c31587e08190ba7f70880c9b1332
404 https://api.openai.com/v1/batches/batch_6946fc2746d08190b39ec1b0c7fed152
404 https://api.openai.com/v1/batches/batch_abc123
200 https://api.openai.com/v1/chat/completions
404 https://api.openai.com/v1/chat/completions/D
404 https://api.openai.com/v1/chat/completions/chat_abc123
404 https://api.openai.com/v1/chat/completions/chat_abc123/messages
404 https://api.openai.com/v1/chat/completions/chatcmpl
400 https://api.openai.com/v1/chatkit/threads/cthr_abc123
200 https://api.openai.com/v1/containers
404 https://api.openai.com/v1/containers/cntr_682dfebaacac8198bbfe9c2474fb6f4a085685cbe3cb5863
404 https://api.openai.com/v1/containers/cntr_682dfebaacac8198bbfe9c2474fb6f4a085685cbe3cb5863/files/cfile_682e0e8a43c88191a7978f477a09bdf5
404 https://api.openai.com/v1/containers/cntr_682e0e7318108198aa783fd921ff305e08e78805b9fdbb04/files
400 https://api.openai.com/v1/containers/container_123/files/cfile_456/content
400 https://api.openai.com/v1/containers/container_123/files/file_456
404 https://api.openai.com/v1/conversations/conv_123
404 https://api.openai.com/v1/conversations/conv_123/items
404 https://api.openai.com/v1/conversations/conv_123/items/msg_abc
403 https://api.openai.com/v1/dashboard/billing/credit_grants
405 https://api.openai.com/v1/embeddings
405 https://api.openai.com/v1/engines/davinci/completions
404 https://api.openai.com/v1/engines/davinci/completionsI
404 https://api.openai.com/v1/engines/text
405 https://api.openai.com/v1/engines/text-davinci-003/completions
405 https://api.openai.com/v1/engines/text-davinci-edit-001/edits
200 https://api.openai.com/v1/evals
404 https://api.openai.com/v1/evals/YOUR_EVAL_ID/runs
404 https://api.openai.com/v1/evals/YOUR_EVAL_ID/runs/YOUR_RUN_ID
404 https://api.openai.com/v1/evals/egroup_67abd54d9b0081909a86353f6fb9317a/runs
404 https://api.openai.com/v1/evals/egroup_67abd54d9b0081909a86353f6fb9317a/runs/erun_67abd54d60ec8190832b46859da808f7/output_items
404 https://api.openai.com/v1/evals/eval_123abc/runs/evalrun_abc456
404 https://api.openai.com/v1/evals/eval_67abd54d9b0081909a86353f6fb9317a
404 https://api.openai.com/v1/evals/eval_67abd54d9b0081909a86353f6fb9317a/runs/evalrun_67abd54d60ec8190832b46859da808f7
404 https://api.openai.com/v1/evals/eval_67abd54d9b0081909a86353f6fb9317a/runs/evalrun_67abd54d60ec8190832b46859da808f7/output_items/outputitem_67abd55eb6548190bb580745d5644a33
404 https://api.openai.com/v1/evals/eval_67e579652b548190aaa83ada4b125f47/runs
404 https://api.openai.com/v1/evals/eval_abc123
405 https://api.openai.com/v1/audio/speech
404 https://api.openai.com/v1/fine_tuning/jobs/U
200 https://api.openai.com/v1/fine_tuning/model_limits
405 https://api.openai.com/v1/audio/transcriptions
200 https://api.openai.com/v1/me
404 https://api.openai.com/v1/audio/voices
200 https://api.openai.com/v1/models
404 https://api.openai.com/v1/models/VAR_chat_model_id
200 https://api.openai.com/v1/batches
404 https://api.openai.com/v1/batches/batch_6942a45fd0408190a004ac99f9d886d2
